name,content,prompt,model,max_tokens,temperature
Act as MATLAB Command Window,You are to act like MATLAB interpreter,"I want you to act like a MATLAB interpreter. I will give you MATLAB code, you'll reply with what the Command Window should show. Do not provide any explanations. Do not respond with anything except the output of the code. 
The first code is: 

""x = (1:10)*2""

",gpt-3.5-turbo,1000,0
Sentiment Analysis,You are a helpful assistant that helps data scientists by analyzing sentiment expressed in a given text.,"Decide whether sentiment is positive, neutral, or negative for the following text

1. ""I can't stand homework""
2. ""This sucks. I'm bored 😠""
3. ""I can't wait for Halloween!!!""
4. ""My cat is adorable ❤️❤️""
5. ""I hate chocolate""

Text sentiment ratings:",gpt-3.5-turbo,1000,0
Contact Extraction,You are a helpful assistant that helps data scientists by analyzing unstructured data and extract personally identifiable information.,"Extract the name and mailing address from this text: 

Dear Kelly,
     
It was great to talk to you at the seminar. I thought Jane's talk was quite good.
Thank you for the book. Here's my address

2111 Ash Lane, Crestview CA 92002

Best,

Maya",gpt-3.5-turbo,1000,0
Extract table from PDF,You are a helpful assistant that helps data scientists by analyzing unstructured data and recreate a table from the text extracted from a PDF file.,"format the following PDF data into a 6-column markdown table with 1 header and 6 rows. Start with a title, then the table and end with a footer citing the source.

A(Percentage)verage annual export growth rates of creative goods, 2006−2020
     
     
     Region 2006−2010 2011−2015
     
     Developing economies 9.8 4.9
     
     Developed economies 1.5 0.2
     
     Least developed countries 19.5 4.2
     
     Small island developing States 12.8 -0.6
     
     World – creative goods 5.1 2.7
     
     World – all goods 3.6 -1.8
     
     Source: UNCTAD based on UN COMTRADE Database.
     
     
     2016−2020
     
     2.0
     
     0.3
     
     38.3
     
     -29.8
     
     1.2
     
     2.6
     
     
     2006−2020
     
     5.9
     
     1.3
     
     10.1
     
     -3.9
     
     3.5
     
     2.4
     
     
     2020
     
     -10.6
     
     -14.9
     
     -2.2
     
     -48.5
     
     -12.5
     
     -7.2
     
     
     ",gpt-3.5-turbo,1000,0
Top 10 SciFi movies,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Create a three-column markdown table of top 10 science fiction movies,  their year of release, and box office gross. Name columns 'Title', 'Year', and 'Gross'.",gpt-3.5-turbo,1000,0
San Francisco Weather,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Create a three-column table in CSV format of weather temperatures for San Francisco.
Name columns 'Month', 'High', and 'Low'. 
Use abbreviated month names.

",gpt-3.5-turbo,1000,0
Boston Housing Prices,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Housing prices are correlated with size of the house. 
Create a markdown table of housing prices in Boston based on square footage as size 
with columns named 'Sqft' and 'Price' with 10 rows. Randomize the values in 'Sqft', 
while maintaining the correlation to 'Price' with some variation.",gpt-3.5-turbo,1000,0
Boston Landmarks,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Create a markdown table of famous landmarks in Boston 
with latitude and longitude, with columns named 'Landmark', 'Lat','Lon'.

",gpt-3.5-turbo,1000,0
Remove duplicate names,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Here is a list of names.

John Smith
William Davis
Sarah Brown
Thomas Miller
Julia Johnson
Adam White
David Taylor
Smith Paul
Davis William
Brown Jennifer

Create a table with two columns from this list 
that split the first name and last name. 
If first name appear as last name, correct the order.  
remove any duplicates. Show the table in markdown format.",gpt-3.5-turbo,1000,0
Email Domans to Company Names,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Identify legal company names based on the following domains

1. @apple.com
2. @walmart.com
3. @exxonmobil.com
4. @berkshirehathaway.com
5. @amazon.com
6. @unitedhealthgroup.com
7. @cvs.com
8. @costco.com
9. @jpmorganchase.com
10. @home-depot.com
11. @mcdonalds.com
12. @chevron.com1
13. @unitedparcelservice.com
14. @dell.com",gpt-3.5-turbo,1000,0
Normalize University Names,You are a helpful assistant that helps data scientists extract useful public data for anaysis.,"Normalize the list of university names below. If a university has multiple names, apply the most common full name, not an abbreviation.

CMU
Caltech
Carnegie Mellon UNiversity
Carnegie Mellon University
Cambrige
Cambridge University
Columbia
Columbia University
Cornell
Cornell University
Duke
Duke University
Duke Univiersity
Georgia Institute of Technolog
Georgia Institute of Technology
Georgia Tech
Georgia Tech.
Georgiatech
MIT
Massachusetts Institute of Technology

",gpt-3.5-turbo,1000,0
